Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
RICE AND NOODLES,Chinese,NA,250,Lanka,Lanka,"B-33/9-p gandhi nagar nariya, naria nagar  nigam food safety zone 16, varanasi up ,  Sundarpur, Nagar Nigam Food Safety  Zone-16, Varanasi, Uttar Pradesh - 221005",False,0
PANEER MAHAL,North Indian,NA,250,Lanka,Lanka,"B-33/9-p gandhi nagar nariya, naria nagar  nigam food safety zone 16, varanasi up ,  Sundarpur, Nagar Nigam Food Safety  Zone-16, Varanasi, Uttar Pradesh - 221005",True,0
Waffle weds cockis,Bakery,NA,200,Lanka,Lanka,"B2 /254 k-1, plot no. 86, ravindrapuri  Varanasi , Bhelupur, Nagar Nigam Food  Safety Zone-17, Varanasi, Uttar Pradesh -  221005",True,0
MATKA MOTTON BIHARI DHABA,Indian,NA,250,Lanka,Lanka,"B2 /254 k-1, plot no. 86, ravindrapuri  Varanasi , Bhelupur, Nagar Nigam Food  Safety Zone-17, Varanasi, Uttar Pradesh -  221005",False,0
HOT TANDOORI CHAI CAFE,Indian,NA,300,Sigra,Sigra,"38/55 69 b sheel nager tulsipur ranipur,  Tulsipur, Nagar Nigam Food Safety  Zone-18, Varanasi, Uttar Pradesh - 221010",True,0
Central Conversations,"Snacks,Beverages,Pizzas,Italian,Continental",3.7,250,Shivala,Bhelupur,"B1/229 'A', Assi, Lanka, Varanasi",False,1
Combo Company,"Combo,Indian,Chinese,Fast Food",NA,400,Lanka,Lanka,B 27/62 A-15 Ravindrapuri Durgakund road varanasi 221005,False,0
OREGANO'S,"Fast Food,Italian,Snacks",4.1,350,Lanka,Lanka,"B27/62A, RAVINDRAPURI, BHELUPUR,  Bhelupur, Nagar Nigam Food Safety  Zone-17, Varanasi, Uttar Pradesh - 221005",False,0
Taste of south,South Indian,NA,200,Nadesar,Nadesar,"Gilat Bajar, Badi Maszid, shivpur road, Varanasi 221002",False,0
Misri sweets,"Pizzas,Sweets,Snacks",NA,280,IIT,IIT,"B 27/88-J-1-B-A-1 Plot NO.77-B RAVINDRAPURI,  VARANASI, Nagar Nigam Food Safety Zone-17,  Varanasi, Uttar Pradesh-221010",False,0
UNIQUE MAHADEV CAFE,"Chinese,Beverages,Burgers,Snacks",NA,200,Lanka,Lanka,"B 26/24-32 DEENDAYAL NAGAR COLONY, NAWAB GANJ NAGAR NIGAM FOOD SAFETY ZONE-17 VARANASI UTTAR PRADESH-221010",False,0
NightX  cafe,"Chinese,Fast Food,Beverages,North Indian,Biryani",NA,200,Lanka,Lanka,"0B30/95, NAGWA VARANASI-UP,  VARANASI, UP, IND, Nagar Nigam Food Safety Zone-16, Varanasi, ,Uttar Pradesh, 221005",False,0
Shri Vishwanath Cafe,"North Indian,Indian,Thalis",NA,200,Lanka,Lanka,"B 26/24 - 32 DINDAYAL NAGAR COLONY ,  Nagar Nigam Food Safety Zone-17,  Varanasi, Uttar Pradesh - 221005",False,0
HARSHIKA BAKERS,Bakery,NA,1400,Nadesar,Nadesar,"Unnamed Road, Hukulganj, 221007, Bharat Nagar Colony, Ashok Nagar, Varanasi, Uttar Pradesh 221001, India",False,0
THE BIRYANI KING KALIKA,"Biryani,North Indian,Chinese",NA,250,Lanka,Lanka,"2/274, SUNDARPUR TADIYA , VARANASI,  UP 221005, Sundarpur, Nagar Nigam  Food Safety Zone-16, Varanasi, Uttar  Pradesh - 221005",False,0
Eva Restaurant,"North Indian,Chinese,Continental",NA,300,Nadesar,Nadesar,Hotel vikram Palace 66 central jail road shivpur varanasi,False,0
Amayra Food Zone,"Italian,Chinese,Snacks",NA,300,IIT,IIT,"Kandawav, Chitaipur chunar road near hdfc bank, Varanasi-221011",False,1
Bhaukaal juice point,Juices,NA,150,durgakund,Lanka,"Shiv parvati mandir ke bagal me, durgakund ,bhelupur, nagarnigam food sefty zone 17, Varanasi, Uttar Pradesh 221010, India",True,1
Dumdaar Chicken Wala,"North Indian,Chinese,Indian",NA,300,Lanka,Lanka,"39/2, HIG Kabir Nagar, Durgakund, Varanasi  221005",False,0
GOLDEN DRAGON,"Chinese,Mughlai,Indian",NA,300,Lanka,Lanka,"B27/62A, RAVINDRAPURI, BHELUPUR,  Bhelupur, Nagar Nigam Food Safety  Zone-17, Varanasi, Uttar Pradesh - 221005",False,0
PIZZA PLACE,Pizzas,NA,200,Nadesar,Nadesar,"S 1/4, VISHWANATH ASHRAM, RAJ  RAJESHWARI, GILAT BAZAR, SHIVPUR,  VARANASI , Shivpur, Nagar Nigam Food  Safety Zone-1, Varanasi, Uttar Pradesh -  221003",True,1
A BAKER'S CABANE,"Bakery,Beverages,Fast Food",NA,500,Lanka,Lanka,"39/2 H.I.G., Kabir Nagar Colony, Bhelupur,  Durgakund, Sarai Surjan, Nagar Nigam  Food Safety Zone-16, Varanasi, Uttar  Pradesh - 221005",True,0
Paneer Darbar,"North Indian,Chinese,Snacks",NA,300,Lanka,Lanka,"39/2, HIG Kabir Nagar, Durgakund, Varanasi",False,0
LA CASA  THE LUSH CAFE,"Chinese,Pizzas",NA,300,Lanka,Lanka,"Plot No 32 B lane-16 Ravindrapuri colony, Varanasi bhelupur nagar nigam food safety zone-17, Varanasi Uttar Pradesh 221005",False,0
AROMA BAKEHOUSE,Bakery,NA,200,Nadesar,Nadesar,"SA 4/4-3A DAULATPUR, PANDEYPUR,  Pandeypur, Nagar Nigam Food Safety  Zone-2, Varanasi, Uttar Pradesh - 221007",True,0
Desi Chinese,Chinese,NA,300,Lanka,Lanka,"39/2, HIG Kabir Nagar, Durgakund, Varanasi",False,0
Yo-China,"North Indian,Chinese,Italian-American,Beverages,Fast Food",NA,300,Lanka,Lanka,""" B 27/62 A-15 Ravindrapuri Durgakund road varanasi 221005",False,0
Royal Tastes,"Chinese,Fast Food,Snacks",NA,300,Lanka,Lanka,B 27/62 A-15 RavindrapuriDurgakund road varanasi 221005,False,0
CHAMPARAN RESTAURANT,"North Indian,Chinese,Fast Food,Snacks,Biryani",2.3,400,Lanka,Lanka,"B-33/9-p gandhi nagar nariya, naria nagar  nigam food safety zone 16, varanasi up ,  Sundarpur, Nagar Nigam Food Safety  Zone-16, Varanasi, Uttar Pradesh - 221005",False,1
Masala Kitchen,"North Indian,Biryani,Chinese,Thalis,Mughlai,Desserts",3.9,300,Chotta Chuppepur,Bhojuveer,"98/164,Gilat Bazzar,Shivpur,Varanasi ,Uttar Pradesh,221003",False,1
MAHARAJA FOOD,"North Indian,Chinese,Snacks",NA,400,Lanka,Lanka,"B-33/9-p gandhi nagar nariya, naria nagar  nigam food safety zone 16, varanasi up ,  Sundarpur, Nagar Nigam Food Safety  Zone-16, Varanasi, Uttar Pradesh - 221005",False,1
Yogiks Cafe,"Indian,Beverages,Desserts",4.1,450,Lanka,Lanka,"B1/128-3 dumraun bagh, Assi - Lanka Rd, Dumraon Colony, Varanasi, Uttar Pradesh 221010, India",False,1
MAHARAJA ROLL CORNER,"Indian,Chinese",2.6,350,IIT,IIT,"B-33/9-p gandhi nagar nariya, naria  nagar varanasi up , Sundarpur  Varanasi, Uttar Pradesh - 221005,  Nagar Nigam Food Safety Zone-16,  Varanasi, , Uttar Pradesh, 221005",False,1
choco heaven,Desserts,NA,200,IIT,IIT,"Kandwa Gate Rd, 7XG4+7M8, DLW Colony Rd, DLW Colony, Bhullanpur, Varanasi, Uttar Pradesh 221004, India",True,0
MIRAKKI,"North Indian,Chinese,Italian,Fast Food",NA,400,Lanka,Lanka,B 27/62 A-15 Ravindrapuri Durgakund road varanasi 221005,False,0
Food way,"North Indian,Chinese,Fast Food,Snacks,Italian-American",NA,300,Lanka,Lanka,B 27/62 A-15 Ravindrapuri  Durgakund road varanasi 221005,False,0
Pizzeria Vaatika Cafe,"North Indian,Italian,Snacks",3.8,500,Shivala,Bhelupur,B 1/178 Assi Varanasi,True,1
KALIKA,"North Indian,Indian,Biryani,Chinese",2.9,500,Lanka,Lanka,"B 33 9 p gandhi nagar nariya, naria nagar  nigam food safety zone 16, varanasi up ,  Sundarpur, Nagar Nigam Food Safety  Zone-16, Varanasi, Uttar Pradesh - 221005",False,1
FIDKA,Indian,4.0,700,Bhelupur,Lanka,"B 3/335-151-A-1-A, Ravindrapuri,Varanasi, District - Varanasi, STATE - Uttar Pradesh,Pincode-221010",False,1
Break-Da-Fast,"North Indian,Combo",3.6,200,Lanka,Lanka,"B 1/128 3 Assi, Varanasi , bhelupur nagar , nigam food safety zone-17 , up 221005",False,1
MAA ANNAPURNA FAST FOOD AND RESTAURANT,"Chinese,North Indian,Snacks",NA,250,Lanka,Lanka,"B 27/17 A-7 Durgakund, Nawab Ganj,  Nagar Nigam Food Safety Zone-17,  Varanasi, Uttar Pradesh - 221005/ Maa Anpurna Fast Food",False,1
DEEP FAST FOOD CORNER,"Snacks,Chinese",NA,150,Lanka,Lanka,Deep fast food corner near jalans (Durga kund) Nagawa nagar nigam food safety zone -16 varanasi uttar pradesh-221005,False,1
THE CAPSICUMS,"Chinese,North Indian",2.5,250,Lanka,Lanka,"B-33/9-p gandhi nagar nariya, naria  nagar varanasi up , Sundarpur  Varanasi, Uttar Pradesh - 221005,  Nagar Nigam Food Safety Zone-16,  Varanasi, , Uttar Pradesh, 221005",False,1
Al Baik World,Snacks,NA,200,Aalampura,Sigra,"A 17/88, Pathani Tola, Varanasi-221001",False,1
HOT N GRILL RESTAURANT,"North Indian,Chinese,Snacks,Tandoor",NA,400,Nadesar,Nadesar,"Sa18/112-A-11-28 Sarang Talab, Maujahal,  Varanasi, Nagar Nigam Food Safety Zone-3,  Varanasi, Uttar Pradesh-221007",False,1
Margherita Valley,"Pizzas,Beverages,Indian",NA,250,Lanka,Lanka,"B 6/69 Pitamber pura bhelupur, Lanka, Varanasi-221005",False,1
NEW MAHARAJA FOOD,"North Indian,Chinese,Biryani,Snacks,American",NA,250,Lanka,Lanka,"B-33/9-p gandhi nagar nariya, naria nagar  nigam food safety zone 16, varanasi up ,  Sundarpur, Nagar Nigam Food Safety  Zone-16, Varanasi, Uttar Pradesh - 221005",False,1
NEW LUCKNOW BIRYANI FAMILY RESTAURANT,"Biryani,Indian,Tandoor",NA,200,Nadesar,Nadesar,"SH-8/22, BY PASS SHIVPUR, VARANASI, Shivpur, Nagar Nigam Food Safety Zone-1, Varanasi uttar pradesh-221003",False,1
WELCOME CITY TOWN FAST FOOD CORNER,Chinese,NA,250,Nadesar,Nadesar,"SH 8/34-A-1-P-K, IN FRONT OF SHYAMA HOSPITAL SHIVPUR,VARANASI  221003",False,1
The Life House,"Italian,Fast Food,Snacks,Desserts",NA,250,Lanka,Lanka,"30 Dumraon bag Colony, Assi Ghat Rd, Varanasi 221005",False,1
Shawarma & Biryani Nation,"Biryani,Arabian",NA,250,Lanka,Lanka,"B1/128-3 dumraun bagh, Assi - Lanka Rd, Dumraon Colony, Varanasi, Uttar Pradesh 221010, India",False,1
KRISHNA NITI FOOD DHAM,"North Indian,Indian,Chinese,Thalis",NA,200,Sigra,Sigra,"A 18/11, Diwan Ganj, P. Nehru School,  Adampur, Varanasi, Varanasi, Uttar  Pradesh , Omkaleshwar, Nagar Nigam  Food Safety Zone-6, Varanasi, Uttar  Pradesh - 221001",False,1
Kingdom of thali,"Thalis,North Indian,Chinese,Snacks",NA,200,Sigra,Sigra,"A 18/11, Diwan Ganj, P. Nehru School,  Adampur, Varanasi, Varanasi, Uttar  Pradesh , Omkaleshwar, Nagar Nigam  Food Safety Zone-6, Varanasi, Uttar  Pradesh - 221001",False,1
Spice Roll Corner & Family Restaurant,"North Indian,Chinese,Indian",NA,250,Nadesar,Nadesar,"Add. Araji no 104/2 Paharia chauraha Paharia, Varanasi, Uttar Pradesh, 221007",False,1
CHOW MOW CHINESE & FAST FOOD,"Chinese,Fast Food,Snacks",NA,200,Nadesar,Nadesar,"Near Bhakti Nagar Colony Gate no 2,  daulatpur Road pandeypur Varanasi,  Pandeypur, Nagar Nigam Food Safety  Zone-2, Varanasi, Uttar Pradesh - 221002",False,1
Sanzha Chulha Family Restaurant,"North Indian,Chinese,Mughlai,Biryani",3.6,500,Indrapur,Bhojuveer,"S 30/14, Indrapur Road, Shivpur, Near Normal School, Nadesar, Varanasi",False,1
DOSA IN HOUSE,South Indian,NA,250,IIT,IIT,"BARAI CHITAIPUR, CHUNAR ROAD, KANDWA, VARANSI, PIN CODE -221011, Kandwa (CT), Varanasi Tahsil, Varanasi, Uttar Pradesh - 221011",True,1
The Indian Biryani House,"Biryani,Indian",NA,350,Nadesar,Nadesar,"Sa 17/144-44-A agarsain nagar colony, Ashok Vihar Colony Phase-I, Paharia, Varanasi, Uttar Pradesh 221007, India",False,1
MAUJ BANARASIYA,"Fast Food,Chinese",NA,250,Nadesar,Nadesar,"MM 22 SHOP NO 42 VDA COLONY  SHIVPUR VARANASI UP , Shivpur, Nagar  Nigam Food Safety Zone-1, Varanasi, Uttar  Pradesh - 221003",False,1
WINNI CAKES & MORE,Bakery,NA,200,Naria,Lanka,"SHOP NO.B29/26,A-1 A, SANKAT MOCHAN,OPP.CANARA BANK,NAGAR NIGAM FOOD SAFETY ZONE-1,VARANASI,UTTAR PRADESH-221005",False,1
Manbhavan Fast Food Corner,"Indian,Chinese",3.6,300,Dumraon Colony,Lanka,"praful nagar colony, near  pnb ATM,  Ravidas Gate, lanka varanasi",False,1
Delicious Restaurant,"North Indian,Chinese,Thalis",3.8,250,karudi,karudi,"11/3, Mohanpuri Colony, Karaundi, Varanasi, Uttar Pradesh 221005, India",True,1
Bakeman Bakery,Bakery,3.7,200,Bagatpur,Nadesar,"Sh8/10B, Shivpur koat, Po- Cantt- 221003",True,1
Kasturi Family Restaurant,"Fast Food,Indian",3.8,300,Paharia,Ashapur,"Basudev nagar colony, Paharia, chauraha, Varanasi, Uttar Pradesh, India",False,1
Kukudooku Restaurant,"North Indian,Biryani,Chinese,Beverages",3.7,300,Sankata Mochan Leprosy,Lanka,"Opposite Saket School, Saket Nagar, Sankat Mochan, Lanka, Varanasi",False,1
Ming Garden Bakery,"Snacks,Desserts",3.8,300,Bhelupur,Bhelupur,"34-B, Ravindra Puri, Bhelupur, Varanasi",False,1
Shri Bhola,Indian,3.9,100,Nagwa Lanka,Varanasi,"Opposite V2 Store, BHU Road, Lanka, Varanasi",True,1
SWEET@99.COM,"Sweets,Snacks",NA,200,Nadesar,Nadesar,"Sa 2/240, t-5, chhotalalpur, Pandeypur,  Pandeypur, Nagar Nigam Food Safety  Zone-2, Varanasi, Uttar Pradesh - 221002",True,1
Masters Pizza,"American,Snacks",3.0,200,Nadesar,Nadesar,"SA 6/186, Patel katra near oppo service centre pahariya Varanasi, Uttar Pradesh -  221007",True,1
Flavours Cafe,North Indian,3.6,400,Nagwa Lanka,Lanka,"1st Floor, Swastik Plaza, Near Ravidas Gate, BHU Road, Lanka, Varanasi",False,1
Shivaz Restaurant,"North Indian,Snacks",NA,350,Sankata Mochan Leprosy,Lanka,"Near Rameshwaram Catika, Saket Nagar Colony, Sankata Mochan Leprosy, Lanka, Varanasi",False,1
Pizza Hub Express,"Pizzas,Snacks,Chinese",3.8,350,Paharia,Pahariya,"1st floor baba Amarnath complex, Pahariya",False,1
STAR LAXMI FAMILY RESTAURANT,"Indian,Pizzas,Snacks",NA,200,Lanka,Lanka,"RAMAPURI COLONY SANKAT MOCHAN VARANASI UTTAR PRADESH, Saket Nagar Colony, Sankata Mochan Leprosy, Varanasi, Uttar Pradesh 221005, India",False,1
Banaras restaurant and cafe,Indian,NA,300,Nadesar,Nadesar,"(NEAR PAGE 3 MAKEUP STUDIO) PAHARIYA AKATHA ROAD, VARANASI , Pandeypur, Nagar Nigam Food Safety Zone-2, Varanasi, Uttar Pradesh - 221007",False,1
SAI BAKERS,"Bakery,Fast Food",NA,200,Nadesar,Nadesar,"MM-19 ASHOK VIHAR COLONY ,PAHARIYA VARANASI TAHSIL, VARANASI UTTAR PRADESH-221007",True,1
Paprika Food Court,"North Indian,Chinese,Continental,Biryani,Beverages,South Indian",3.8,350,Varanasi,lanka,"b 30/5 ,vikram building ,Lanka,varanasi",False,1
Sri Ji Kitchen,"Chinese,South Indian,Snacks",NA,200,IIT,IIT,"Arazi No.216 & 217, Gandhi Nagar, Mohanpuri Colony, Karaundi, Varanasi, Uttar Pradesh 221005, India",False,1
YELLOW CURRY POINT,"North Indian,Indian,Chinese",NA,250,Lanka,Lanka,"B 30/2, Plot no. 29 Prafull Nagar Colony, beside PNB Bank, Lanka, Varanasi, Uttar Pradesh 221011, India",False,1
Pahalwan Lassi Bhandar,Beverages,3.9,100,Bhelupur,Lanka,"B 30/2, Pandit Madan Mohan Malviya Road Lanka Road, Ravidas Gate, Lanka Chaumuhani, Lanka, Varanasi",True,1
#InstaHunger,Chinese,NA,300,Lanka,Lanka,"B32/112 P , Saket Nagar Colony Near AVA HOSPITAL SAKET NAGAR PARK, NO 2, Gandhinagar, Naria, Varanasi, Uttar Pradesh 221005, India",True,1
TANDOOR  JUNCTION,"North Indian,Snacks",NA,300,Nadesar,Nadesar,"SHOP NO.34,PAHARIYA MANDI GATE NO  2,SUPER MARKET,PAHARIYA, Pahariya,  Nagar Nigam Food Safety Zone-2,  Varanasi, Uttar Pradesh - 221001",False,1
PINE TREE RESTAURANT,"Chinese,Tandoor,Biryani",3.7,300,IIT,IIT,"N 4/13 C, Panchkoshi Road, Karaundi, Naria, food safety zone-16, Varanasi, Uttar Pradesh 221005, India",False,1
Cheezee Bites,"Pizzas,Snacks,Beverages,Salads,Desserts",3.9,300,Lanka,Lanka,"B-30/25, BHU - Lanka Main Road, Varanasi",False,1
The Garage Kitchen,"Street Food,Indian",NA,100," Lanka Assi Road, Varanasi","Lanka, BHU Road","B 30/2A - 27A, Lanka Assi Road, Varanasi, Nagwa, Nagar Nigam Food Safety Zone-16, Varanasi, Uttar Pradesh-221005",True,1
Tasty Bites,"Street Food,North Indian,Chinese,Biryani",4.0,150,Sankata Mochan Leprosy,Lanka,"B 32/47 AC , Nariya, saket nagar, opposite saket school",False,1
UP 65 Wala,"North Indian,Chinese,Continental",3.4,250,Nadesar,Nadesar,"SA 5/159 E 4 A, RAMERYPUR, PAHARIYA, VARANASI, 221007",False,1
Mr. Pizzawala,"Italian,Pizzas",3.6,200,Lanka,Lanka,"B 31/26, Lanka , VaranasI",True,1
English Masala,"North Indian,Chinese,Snacks,Beverages",4.3,350,Lanka,Lanka,"44, Madhav Market, Lanka, Varanasi, Uttar Pradesh 221005, India",False,1
Apna Family Restaurant,"Indian,North Indian",3.4,250,Nagwa Lanka,Lanka,"B 30-42-13,j Madhav Market ,Lanka,Varanasi",True,1
Central Pizzeria,"Pizzas,Italian,Fast Food",NA,400,Lanka,Lanka,"B1/229 A, Opposite Alok Hospital, Assi Ghat Road, Assi Ghat, Varanasi",False,1
CHICKEN KING,"North Indian,Snacks",NA,250,Lanka,Lanka,"B 30/2, Plot no. 29 Prafull Nagar Colony, beside PNB Bank, Lanka, Varanasi, Uttar Pradesh 221011, India",False,1
New Apna Family Restaurant,"North Indian,Biryani,Chinese,Beverages",3.6,300,Lanka,Lanka,"B 30-42-13,j Madhav Market ,Lanka,Varanasi",True,1
italianio,"Chinese,Fast Food",NA,250,Lanka,Lanka,"B 30/2, Plot no. 29 Prafull Nagar Colony, beside PNB Bank, Lanka, Varanasi, Uttar Pradesh 221011, India",False,1
Cafe de Coop,"Indian,Chinese",3.4,350,Lanka,Lanka,"B 31/13 K, Malviya Kunj, Lanka, Varanasi",False,1
URBAN PUNJAB,"North Indian,Biryani,Sweets",NA,300,Lanka,Lanka,"B 30/2, Plot no. 29 Prafull Nagar Colony, beside PNB Bank, Lanka, Varanasi, Uttar Pradesh 221011, India",False,1
PIZZA EXPRESS MEAL,"Pizzas,American,Snacks",NA,250,Nadesar,Nadesar,"SA-5/156-F-2 AKATHA PAHARIYA VARANASI  UTTAR PRADESH-221007, Dindayalpur,  Nagar Nigam Food Safety Zone-3,  Varanasi, Uttar Pradesh - 221007",False,1
Banarasi Biryani,"Biryani,Arabian,North Indian,Desserts",4.1,300,Lanka,Lanka,"B-30/70-71 Ground floor lanka,Varanasi,221004",False,1
BURGER POINT,"American,Fast Food",NA,250,Lanka,Lanka,"Near Shiv shakti complex, Lanka,  Varanasi, UP-, Naria, Nagar Nigam Food  Safety Zone-16, Varanasi, Uttar Pradesh -  221005",False,1
The Pizza Cutter,"Pizzas,Italian,American",NA,400,Nadesar,Nadesar,"SA-5/156-F-2, Akatha Pahariya, Pandeypur, Varanasi 221007",False,1
Ayushmaan Chaat Wala,"Chaat,South Indian,Chinese,Fast Food",NA,100,Nadesar,Nadesar,"chitragupt. temple, Chitragupta Nagar Colony, Bhakti Nagar Colony, Paharia, Varanasi, Uttar Pradesh 221002, India",True,1
SIGDEE THE GRILL AND FOOD  FACTORY,"Chinese,Tandoor,Mughlai,Biryani",NA,400,Lanka,Lanka,"N-1/26-D, Nagwa, Lanka, Varanasi,  UP-221005, Nagwa, Nagar Nigam Food  Safety Zone-16, Varanasi, Uttar Pradesh - 221005",False,1
THE BAKEHOUSE,"Desserts,Snacks",3.6,200,Paharia,Ashapur,"S-17/1-A-3G-R-1 PAHARIYA, Nagar Nigam Food Safety Zone-2, Varanasi (Uttar Pradesh), - 221007",True,1
Sagar Ratna,"South Indian,North Indian,Chinese",3.9,400,Nagwa Lanka,Lanka,"B-30/69-70, Swastik Plaza, Beside Ravidas Gate, Lanka, Varanasi",True,1
NEW BAKER WEE,"Bakery,American,Chinese",NA,150,Lanka,Lanka,"b. 32/23 SAKET NAGAR IANKA VARANASI, Sundarpur, Nagar Nigam Food Safety Zone-16, Varanasi, Uttar Pradesh - 221005",True,1
BIRYANI & CHINEESE,North Indian,NA,200,Lanka,Lanka,"Near Shiv shakti complex, Lanka,  Varanasi, UP-, Naria, Nagar Nigam Food  Safety Zone-16, Varanasi, Uttar Pradesh -  221005",False,1
Murga Surga,"North Indian,Chinese",NA,250,Lanka,Lanka,"B 32/47 AC, Nariya, Saket Nagar, opposite Saket school, Varanasi 221005",False,1
Tanish Dining and Cafe,"North Indian,Beverages,Snacks",3.7,500,Nagwa Lanka,Lanka,"N 1/64 A, Near BHU Trauma Center Main Gate, Ravidas Gat Road, Lanka, Varanasi",False,1
Pizza Point,Pizzas,3.3,400,Pahariya ,Nadesar,"SA-5/156-F-2, Akatha Pahariya, Pandeypur, Varanasi",False,1
Downtown Pizza,"Pizzas,Continental",2.1,400,Nadesar,Nadesar,"SA-5/156-F-2, Akatha Pahariya, Pandeypur, Varanasi",False,1
RED PALACE RESTAURANT AND MARRIEGE LAWN,"North Indian,Chinese,Beverages,Desserts,Tandoor,Continental",NA,400,Nadesar,Nadesar,"SA 6/172 K-1 AAKHATA , PAHARIYA VARANASI  NAGAR NIGAM FOOD SAFETY ZONE-2 VARANASI UTTAR PRADESH-221007",False,1
Tit Bit Cafe At Home,"North Indian,South Indian,Snacks",3.9,350,Nagwa Lanka,Lanka,"Swastik Plaza, Pandit Madan Mohan Malviya Road, Near Ravidas Gate, Near Lanka Thana, Lanka, Varanasi",True,1
MASALA TADKA,Indian,NA,250,Nadesar,Nadesar,"SOYEPUR, Chhota Lalpur, Soyepur,  Varanasi Tahsil, Varanasi, Uttar Pradesh -  221002",True,1
Cafe 365,North Indian,NA,300,Lanka,Lanka,"B 30/42, 50,51,52, Madho market, Lanka, Varanas i, Netambit - 221005",False,1
DESI SWAG,"North Indian,Chinese,Tandoor,Biryani",NA,250,Nadesar,Nadesar,"SH-8/22 BYPASS SHIVPUR COURT SHIVPUR  VARANASI,VARANASI - 221002, Shivpur,  Nagar Nigam Food Safety Zone-1,  Varanasi, Uttar Pradesh - 221002",False,1
KHANA KHAZANA KITCHEN,North Indian,NA,150,Nadesar,Nadesar,"SOYEPUR, Chhota Lalpur, Soyepur,  Varanasi Tahsil, Varanasi, Uttar Pradesh -  221002",True,1
New Banaras Restaurant & Bhojnalay,"Indian,Chinese,South Indian",NA,400,Lanka,Lanka,"Nariya Road, Near Maruti Guest House, Saket Nagar Colony, Lanka, Varanasi",False,1
Ananta food court,"North Indian,South Indian,Chinese",3.9,200,IIT,IIT,"Plot No.924, Susuwahi, Hyderabad Gate,  B.H.U., Varanasi , Susuwahi (CT), Varanasi  Tahsil, Varanasi, Uttar Pradesh - 221005",True,1
GO 39 PIZZA,"Pizzas,Italian",3.5,300,Basahi,Nadesar,"SH,3/3K-2K,Nawalpur Basahi, Varanasi UP-221002",False,1
BBC Restaurant,"North Indian,Chinese,Biryani,Tandoor,South Indian,Thalis",3.3,200,Lanka,"Malviya Kunj, lanka","2nd floor B-31/12 Malviya Kunj lanka, Varanasi UP",False,1
Kwality walls frogen & KUHU Ice cream,"Ice Cream,Desserts,Beverages",NA,325,Nadesar,Nadesar,"SA17/1K, Ganpathi Nagar, Ashok Nagar, Varanasi, Uttar Pradesh 221001, India",True,1
Wow Chaina,Chinese,3.5,300,Karaundi,IIT,"Sahaj Shopping Complex, BHU Rd, Near Hyderabad Gate, Susuwahi, Varanasi, Uttar Pradesh 221005, India",False,1
OMA (Kapoors Kitchen) (Home made food),Indian,4.1,150,Kadipur,Nadesar,"SH 16/120, R 1, Kadipur, Near B S Convent School, Nadesar, Varanasi",False,1
Flavours Restaurant,"North Indian,Thai,South Indian",NA,500,Lanka,Lanka,"Hotel Ozas Grand, Opposite Bu Trauma Centre Road, Samne Ghat Road, Lanka, Varanasi",False,1
Roma's Cafe Diner,"North Indian,Chinese,Continental,Italian,Mexican",4.1,700,Nagwa Lanka,Lanka,"2nd Floor, Swastik Plaza, Lanka, Varanasi",False,1
Mr Jalapenos,"Mexican,Italian,Chinese,Indian",NA,300,Lanka,IIT,"N 1/61-2 RC Samne Ghat Road Ward Nagwa,  Nagwa, Nagar Nigam Food Safety Zone-16, Varanasi, Uttar Pradesh - 221005",True,1
VEGKING FAMILY RESTAURANT,"South Indian,North Indian,Fast Food,Italian,Beverages",NA,350,Nadesar,Nadesar,"SH 8/4-P-S, AYODHYAPURI COLONY, SHIVPUR,  VARANASI , Nagar Nigam Food Safety Zone-1,  Varanasi, Uttar Pradesh-221003",True,1
Go 69 Pizza,"Pizzas,Fast Food,Desserts",2.8,300,Chadmari ,Bhojuveer,"BD Singh Katra, Near Natiniyadai Mandir, Bada Lalpur, bhojuveer, Varanasi",False,1
Food Street,"Biryani,Indian,Chinese",2.8,200,Karaundi,IIT,"Suswahi , Hyderabad Gate, BHU. Varanasi-221005",False,1
wow china,"Pizzas,Italian,Continental,Pastas",3.5,150,Lamhi,Nadesar,"BD Singh Katara, Khushahal Nagar,Near Natiniyadai mandeer, Sindhora Road,Varanasi.",False,1
SRING SRIJA RASOI,"North Indian,Snacks,Sweets,Beverages",NA,250,Nadesar,Nadesar,"226/1 NEW 397 GHA, RAMDUTTPUR RAM DUTT PUR, VARANASI TAHSIL, VARANASI, UTTAR PRADESH- 221007",True,1
VIP BAKERS,Bakery,NA,300,IIT,IIT,"NASIRPUR, SUSUWAHI VARANASI  NASIRPUR, VARANASI TAHSIL, VARANASI UTTAR PRAESH-221011",False,1
TANDOORI ZAIKA,"Tandoor,North Indian,Indian",NA,250,Nadesar,Nadesar,"SH,3/3K-2K, NAWALPUR BASAHI,  VARANASI UTTAR PRADESH-221002,  Shivpur, Nagar Nigam Food Safety Zone-1,  Varanasi, Uttar Pradesh - 221002",False,1
Banaras Burger Corner,"North Indian,South Indian,Snacks,Chinese",3.6,250,Lanka,Lanka,"Near BHU, Lanka, Varanasi",False,1
